"","X","screen_name","text","location"
"23",23,"censia_salud","Si estás embarazada, es muy importante vacunarte contra la #influenza en esta temporada de frío.
Marzo es el último mes en que se aplicará esta vacuna. Y tú, ¿ya te vacunaste? https://t.co/fCADIClVEE","Ciudad de México"
"24",24,"censia_salud","Si estás embarazada, es muy importante vacunarte contra la #influenza en esta temporada de frío. https://t.co/bUlNy7NinD","Ciudad de México"
"25",25,"censia_salud","La #vacuna de #influenza es segura y GRATUITA.
Marzo es el último mes en que se aplicará esta vacuna. Y tú, ¿ya te vacunaste? https://t.co/hyiH1pz8I8","Ciudad de México"
"26",26,"Quadratin_Hgo","#Salud Van 64 muertes por influenza en Hidalgo durante actual temporada.

Aquí la información--&gt; https://t.co/rCFEsxLZDu","Hidalgo, Mexico"
"27",27,"Quadratin_Hgo","#TómaloEnCuenta Pide SSH atender triada de síntomas para identificar Influenza.

Aquí la información--&gt; https://t.co/ipH96GFtPF","Hidalgo, Mexico"
"28",28,"MDMagazine","XOFLUZA goes for its 2nd #influenza indication in as many years. https://t.co/tQKlXXQTbL","United States"
"29",29,"DocOlmstead","Bad year for influenza https://t.co/PW5QnAntLw","Apopka"
"30",30,"LeahTiscione","Where my influenza-ridden homies at can I get a weak, tepid Woo","Seattle, WA"
"31",31,"ElSoldeSanLuis","En SLP se han registrado solamente 6 muertes por influenza

Se indica que el tipo AH1N1, sigue siendo el más peligroso cuando se tienen co-morbilidades y no se tiene la vacuna como protección orgánica https://t.co/RgPCCKWQMa","San Luis Potosi"
"32",32,"keelyclove","influenza a is spreading like wildfire right now so please for the love of god cover your mouth when you cough, wash your hands and stay in your house if you have flu symptoms. it’s also not too late to get your flu shot <U+270C><U+0001F3FB>","somewhere in colorado"
"33",33,"Beida5T","@ashleybengtsson can’t wait to go home and die from influenza","Cold Lake, Alberta"
"34",34,"ALHistoryEdu","- Here's history in action! Master Teacher @mandymathisms used an activity to teach about the 1918 Influenza epidemic and to demonstrate to her students how diseases spread--and how fast they do. #al200 https://t.co/0jPxUYHuot","Alabama, USA"
"35",35,"Celtic_Films","Influenza, Pneumonia? No wonder. https://t.co/Ak3kKnPWYR","Hollywood, CA, USA"
"36",36,"VentanaJuicio","La Ventana del Juicio | Arturo Zaldívar falta a la sesión de Suprema Corte por influenza https://t.co/QxNj5BbHW4","Chihuahua"
"37",37,"AxiomAxiom","@Rechanmole Funniest answer: influenza virii. Become trillions, infect everyone. Grosses answer: humpback whale. You'd be only about 180 pounds worth of whale, or 0.04% of a whale. Eww.","New York"
"38",38,"mandymathisms","WWI and the 1918 Influenza Pandemic simulation and activities were a success in APUSH. Thanks, @ALHistoryEdu and @al200. @MSCSTrojans @TrojansMSHS #takechances https://t.co/iYGEU54Ef4","Muscle Shoals, AL"
"39",39,"SedgwickCounty","It's not too late to get a #flu vaccine. @CDCgov recommends flu vaccination as long as influenza viruses are circulating. #FightFlu https://t.co/MpcJf5fove","Sedgwick County, Kansas"
"40",40,"EquineGuelph","Equine Guelph March E-News- Protect your horse from influenza, Fire survivor advocates, exciting courses, events and more https://t.co/zSCgOtVFrX https://t.co/WsK7dgVUYP","Guelph, ON"
"41",41,"FMVZUNAM","#ÉchaleUnVistazo al siguiente artículo de nuestra Revista Veterinaria México FMVZ ""Isolation and characterization of influenza A virus (H6N2) from a temporary artificial pond in Mexico""  &gt;&gt; https://t.co/U1yiAUgVOs https://t.co/DrOV4YrVvi","Ciudad de México"
"42",42,"SintesisHgo","Crece número de víctimas por #influenza en la entidad <U+0001F637>
https://t.co/evScLxgZ0C","Hidalgo, México"
"43",43,"SintesisHgo","Insiste @Salud_Hidalgo en vacunarse contra la #influenza.
https://t.co/A64cvmwEMK","Hidalgo, México"
"44",44,"Amingee","I had a vivid dream this morning that I was sick with influenza. In the dream I was coughing, aching, and with a raging fever.

I awoke to finding my leg asleep, a bit warm, but feeling fine.

I am still really confused that I am not currently actually sick.","Minneapolis MN"
"45",45,"kriller","@MThaastrup <U+0001F631><U+0001F631><U+0001F631>
Oh, shit. Troede egentlig jeg var igennem denne sæsons influenza allerede i oktober. Krydser fingre for at det her ikke er killerinfluenza.
Jeg SKAL være rask til næste onsdag!","Denmark"
"46",46,"microRNApro","North and South Korea team up https://t.co/tZuR0DS1dz ...if border restrictions are lifted, the viral infections, such as influenza, that are more common in South Korea will start to hit especially hard in North Korea, where immunity is low and suppressed by malnutrition... https://t.co/B2pSwIzdHa","Northern Georgia"
"47",47,"microRNApro","@doritmi @kevinfolta @meredithwadman Koel et al (2013) showed why the influenza vaccine was not effective in the short term. ""...major antigenic change can be caused by single amino acid substitutions."" See: https://t.co/s7K804jVh7","Northern Georgia"
"48",48,"BLakeSumnrPatch","6 Dead, 59 Hospitalized Due To Influenza In Pierce County https://t.co/sVromuUs15 https://t.co/kwhi9X8YPV","Bonney Lake, WA"
"49",49,"PuyallupWAPatch","6 Dead, 59 Hospitalized Due To Influenza In Pierce County https://t.co/NsCciAqrQ4 https://t.co/UBihr3CJSY","Puyallup, WA"
"50",50,"EnumclawPatch","6 Dead, 59 Hospitalized Due To Influenza In Pierce County https://t.co/7OoDuBSTVR https://t.co/Slb6DO1SOU","Enumclaw, WA"
"51",51,"mldcmu","Researchers @mldcmu @scsatcmu are using artificial intelligence to make a better flu vaccine https://t.co/a7ZDZNPqNC - Delphi's Research Group is using machine learning to forecast the spread of influenza by training an algorithm on data gathered from many sources. #ml #ai","Pittsburgh, PA"
"52",52,"rafaniembro","@AlexItesm Y tuvimos la crisis mundial de 2008 y 2009 y también en ese año por la influenza, recordemos que por semanas paralizó turismo, exportaciones, etc","Mexico"
"53",53,"Inveni_AI","The #Influenza virus kills tens of thousands of people per year in the US alone. Researchers are using #AI to better understand the flu in order to create more effective vaccines. #Healthcare #ML #Innovation #Technology
https://t.co/WJ7dJVB8XX","Connecticut, USA"
"54",54,"wiscontext","The 1918 influenza pandemic prompted intense interest in the disease, placing scientists in Wisconsin at the vanguard of flu research over the ensuing century  https://t.co/r35lB9labT","Wisconsin, USA"
"55",55,"AndreaAiramG","Siento que voy a acabar en el hospi por mi influenza jajajaja sorry x saludarlos d mano.","Cuernavaca, Morelos"
"56",56,"GHarborPatch","6 Dead, 59 Hospitalized Due To Influenza In Pierce County https://t.co/z3UGMEn7bS https://t.co/uNHMsgn9TF","Gig Harbor, WA"
"57",57,"pblev","Full on influenza....at least I can be buried in my family cemetery now","Los Angeles, CA"
"58",58,"SMusfelt","@HHSGov WARNINGS AND PRECAUTIONS
5.1 Guillain-Barré SyndromeIf Guillain-Barré syndrome (GBS) has occurred within 6 weeks following previous influenza vaccination, https://t.co/CI7g7Ea5li","Kansas, USA"
"59",59,"Globalmediamx","No se han detectado casos de influenza, únicamente ha identificado cuadros de gripa estacional al interior de las instituciones educativas... 

#SLP 

https://t.co/Sq0Vr8UGyd","San Luis Potosí, México"
"60",60,"novedadesdecamp","Personal del IMSS aplica vacunas de Sabin, Influenza y complemento de esquema de niños menores de 9 años, en el Centro de la ciudad, como parte de la Semana Macional de Salud https://t.co/I4CmtS7kUL","Campeche, México"
"61",61,"CFHealthPlans","¿Resfrío o influenza? Si tienes fiebre, dolores musculares o cansancio, puede ser algo más serio. ¿Necesitas más información sobre tus síntomas? Llama a nuestra línea directa de enfermería al número 1-800-434-2347. https://t.co/2zukJo9OBq","San Antonio, Texas"
"62",62,"RxRegA","I heard today at the vaccines adcomm meeting that the Deputy Director of CDC's Influenza Division, Dr. Jackie Katz, is retiring. Does anyone know if an announcement was made?","Baltimore, MD"
"63",63,"MayoProceedings","The inpatient setting remains a prominent missed opportunity to administer the influenza vaccination, and closing this care gap is a reasonable strategy to reduce the morbidity and mortality related to influenza.
https://t.co/5pRs1exIqT https://t.co/eTGO0yo2oM","Rochester, MN"
"64",64,"merrrd","@RepValDemings @HouseGVP 60,000 Americans die each year from influenza (80,000) last season, yet the vaccine is optional.

48,000 commit suicide each year but you only talk about the half that use guns.

33,000 die in auto accidents yet collision avoidance/mitagation systems aren't required. Neither are","Richmond, KY"
"65",65,"merrrd","@RepValDemings @HouseGVP You're right, there is no border crisis.

I am by no means content with 16,000 homicides as ""the price of freedom."" There are measures I support. Gun violence is no more an epidemic or crisis than Trump's wall.

Suicide is.

Influenza is.","Richmond, KY"
"66",66,"MDM_Events","Influenza and its complications cause as many as 140,000 to 710,000 hospitalizations and 12,000 to 56,000 deaths annually in the U.S. https://t.co/HJSrm8Requ","Santa Monica, CA"
"67",67,"MDM_Events","Influenza and its complications cause as many as 140,000 to 710,000 hospitalizations and 12,000 to 56,000 deaths annually in the U.S. https://t.co/HJSrm8Requ","Santa Monica, CA"
"68",68,"MDM_Events","Influenza and its complications cause as many as 140,000 to 710,000 hospitalizations and 12,000 to 56,000 deaths annually in the U.S. https://t.co/HJSrm8Requ","Santa Monica, CA"
"69",69,"MDBoxapp","Greater access to healthcare at a lower cost 
#Telemedicine #Symptomtosolution #DallasMoms #DocInABox #BehindTheBox #UnboxTheDoc #Dallashealthcare #Dallasmommyblogger #Treatment #Symptoms #Prescription #MDBox #InStoresNow #Medicine #Strep #Flu #UTI #Strepthroat #Influenza https://t.co/eNUIiU6Eps","Austin, TX"
"70",70,"MDBoxapp","MDBox was built to give you greater access to quality healthcare at a lower cost. #Telemedicine #DallasMoms #DocInABox #UnboxTheDoc #Dallashealthcare #Dallasmommyblogger #Treatment #Symptoms #Prescription #MDBox #InStoresNow #Medicine #Strep #Flu #UTI #Strepthroat #Influenza https://t.co/bP5M7xj1gM","Austin, TX"
"71",71,"EVJltd","Don't forget 'Evidence of equine influenza A (H3N8) activity in horses from Eastern and Central Saudi Arabia: 2013<U+0096>2105' is our free paper of the day. Access it here https://t.co/OID4Tgv8Ul https://t.co/rKqpsNbCHW","Newmarket"
"72",72,"EVJltd","Have you accessed our free for day paper? 'Evidence of equine influenza A (H3N8) activity in horses from Eastern and Central Saudi Arabia: 2013<U+0096>2105' https://t.co/CbalXBcTFi https://t.co/4M0UQmORJA","Newmarket"
"73",73,"EVJltd","Free for the day: Evidence of equine influenza A (H3N8) activity in horses from Eastern and Central Saudi Arabia: 2013<U+0096>2105 https://t.co/8iQzeGO7pn https://t.co/3zL0hyzbnh","Newmarket"
"74",74,"pxwhittle","Map: Is there flu near you? The answer is...possibly. https://t.co/KQ9Zco5qQW","Portland, Maine"
"75",75,"zednanreh90","Diet may be an important factor for Influenza A virus exposure in wild African mammals https://t.co/YD0lk1q46b di @physorg_com","México"
"76",76,"LooseIsLoose","6 Dead, 59 Hospitalized Due To Influenza In Pierce County https://t.co/JtcgrZYQtR","Hillsboro, OR"
"77",77,"KeithDarce","After a slow start, the #flu season in #SanDiego is now looking like one of the worst in terms of total cases in the last 10 years, second only to last year's monster season. This chart, showing the current season in red, is from the latest #influenza report from @SDCountyHHSA https://t.co/xNRMPgQuHa","San Diego, Ca."
"79",79,"shadybrady224","My daughter's been home sick her 3rd day in a row with influenza :( she gets sick more than I ever did and more than almost anyone I know. Such a helpless feeling I just want her to get better. Ugh.","St Paul, MN"
"80",80,"Potrblog","US military suspects it is seeing reduced #Flu #Vaccine effectiveness because it is a highly vaccinated group and repeated yearly #vaccinations may be reducing immune response

#H3N2 #H1N1 #influenza #MedEd #Nurse #antivax https://t.co/FOMeVIcyFb","Saint Louis"
"81",81,"Potrblog","#VRBPAC meeting says  changes in #H3N2 viruses ""EXTRAORDINARY""
Discussion calls for changing #Quadravalent formulation to add a 2nd H3N2 variant at the expense of one of the B lineages

#Influenza #Flu #MedEd #Nurse","Saint Louis"
"82",82,"Potrblog","The #DefenseDept's fear that forcing active duty #military to get #FLU vaccinations every year results in more #Influenza infections is best seen in this chart
Compare the vaccine effectiveness of the #activeduty personal vs Dependents vs the #IllegalAliens treated at the border https://t.co/6ANyZBh6Ls","Saint Louis"
"83",83,"Potrblog","@gallus_pallas No, how protected you are from any #H3N2 virus depends on the #Antigenic distance from the infection or  flu shot you had (aka how different it is)

In the chart below the small dots = different strains
the greater the distance between = the less protection

#flu #sick #influenza https://t.co/DvV7NuPklW","Saint Louis"
"84",84,"Potrblog","FDA's #Influenza #Vaccine composition meeting for the US 2019-2020 #FLUshot
is live and can be watched at this link
https://t.co/lezQajmoSA

#H3n2 #H1N1
#FLU #CDC #FDA #VRBPAC","Saint Louis"
"85",85,"Potrblog","#FDA's #Flu #Vaccine committee is discussing if early #influenza #Vaccination is responsible for 0% effectiveness with the #Flushot in folks over 50 yrs of age. #Seniorcitizens may need to wait for vaccination until later in the flu season

https://t.co/lezQajmoSA

#MedEd #nurse","Saint Louis"
"86",86,"Potrblog","Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at
https://t.co/Y0IMLMLypl

If you want to understand the #Voodoo and #SausageMaking that goes into the #FluShot watch the experts live as they create the 2019 #influenza vaccine

#H3N2 will be most enlightening","Saint Louis"
"87",87,"ryanreynolds86","Ferris Bueller's Day Off Thanks to Influenza A #RuinAn80sMovie","Effingham, IL"
"88",88,"polarenas","@charlevs Y además la epidemia de influenza! <U+0001F637>","México"
"89",89,"CarlosdelRio7","@ArturoZaldivarL Cuídese Sr. Ministro.  Espero que haya recibido su vacuna de influenza, de lo contrario no olvide vacunarse el próximo año.","Atlanta, GA"
"90",90,"elsolde_mexico","Por influenza presidente de la SCJN falta a sesión del martes https://t.co/CRleY3m6wT https://t.co/pAuVeA5dFM","Ciudad de México"
"91",91,"ahh_sht","@krissymaecagney Almost all of Columbus, the downtown area especially, has been passing around influenza and whooping cough for the last month or so. Unfortunately, y'all never really stood a chance.","Columbus, OH"
"92",92,"shayyy_1022","Influenza A got ya girl, but I’m still smiling <U+0001F61C> https://t.co/ktOQX7KsJH","Washington Court House, OH"
"93",93,"valenciaxci","My poor baby can’t seem to get a break. He had strep twice in February and now he tested positive for influenza a. <U+0001F629>","Kansas"
"96",96,"ARCH_Queensu","""The world will face another influenza pandemic –the only thing we don’t know is when it will hit and how severe it will be. Global defences are only as effective as the weakest link in any country’s health emergency preparedness and response system.""- WHO
https://t.co/pZCxlZP8AZ https://t.co/Z72dze6NbA","Kingston, Ontario"
"97",97,"JuanLuisGlzT","#Video 
Jhonny González, Campeón del Mundo en Boxeo, es nuestro #PromotorDeLaSalud y te invita a vacunarte contra la #Influenza y revisarte contra el #CáncerDeMama uniéndote a la campaña del Seguro Popular Nuevo León
#EstaEnNuestrasManos |@JaimeRdzNL 
@DrManueldelaO @ConsejoNL https://t.co/ddTmkzOqnw","Monterrey, Nuevo León"
"98",98,"JuanLuisGlzT","Gracias a mi amigo Alberto ""El Patrón"" del Río @PrideOfMexico por ayudar al @REPSS_NL a ser un #PromotorDeLaSalud y fomentar la vacunación contra la #Influenza y prevenir el #CáncerDeMama uniéndose a la campaña del Seguro Popular Nuevo León
#EstaEnNuestrasManos |
@DrManueldelaO https://t.co/gWoPnzBXVq","Monterrey, Nuevo León"
"99",99,"IowaGrammarGirl","OMG...sitting here in a cube at the office and hearing people talk about being sick and all the sick people. Some with stomach flu. Others with influenza A, B, and both. <U+0001F922> THIS is why I work from home!!!","Iowa"
"100",100,"SciGuyKai","@natalia13reagan My ex contracted the flu, H1N1 I believe, while pregnant. I don't recall the details, as it happened a few years after we broke up, but I heard that the flu caused her to give birth prematurely and ultimately led to the death of her newborn. Influenza isn't a joke.","Sarasota, Florida"
"101",101,"chicagorunner83","@luckykelsey @lenapreece @ethan_Joesph16 Your profile speaks about vaccine safety. I’m for child safety. Vaccines are incredibly safe, much more so than most medications and far safer than a car ride. I’ve seen children on ventilators due to influenza and Hib meningitis. Let medical professionals do our work.","United States"
"102",102,"LolitaOsorio_","¡Juntos prevenimos la #influenza!

Presentas algún síntoma, no te automediques y acude a tu unidad de salud.

#CuidaTuSalud y la de los tuyos. https://t.co/n2LJORh2xd","Pachuca Hidalgo"
"103",103,"NIETITO","@marcomeza Ni el virus de la influenza Jajajajjaa","México D.F. "
"104",104,"oblixvion","@georgiasjav @slfanette Mantannya influenza?","<U+0001D46E>"
"107",107,"ViraBurnayeva","#STUDY: Prevention of #Influenza Episodes with #Colostrum Compared with #Vaccination in Healthy &amp; High-Risk Cardiovascular Subjects

https://t.co/IQYEjFQQFs

Colostrum is at least 3 TIMES MORE effective than #vaccines to prevent flu.

#LearnTheRisk #FluVaccine #FluShot https://t.co/ZXKAaJ2e05","NoVA, USA"
"108",108,"ViraBurnayeva","Did your doctor tell you the #FluShot INCREASES respiratory issues 4.4 times?

#STUDY:  Increased Risk of Noninfluenza Respiratory Virus Infections Associated with Receipt of Inactivated #Influenza #Vaccine

https://t.co/kYIpEjYcnf

#LearnTheRisk #VaccineSafety #FluVaccine #Flu https://t.co/EJXSM67CwC","NoVA, USA"
"109",109,"evanvwk","@WomenintheWorld Thank you for this, @WomenintheWorld.
 
And wasn't last year's exceptionally bad flu season due largely to lower immunization rates?

Influenza sickens and even kills thousands every year. Get vaccinated, people.","USA"
"110",110,"IDinChildren","ICYMI: FDA CLIA-waives BinaxNOW #influenza rapid test 
https://t.co/bao9JJ4S9T @AbbottNews #Flu #FluTest","Thorofare, NJ"
"111",111,"ElHorizontemx","Presidente de Suprema Corte se enferma de influenza y falta a sesión https://t.co/WqoeGv4cfd https://t.co/uuJRossTKq","Monterrey, México."
"112",112,"LuAntonio777","@ArturoZaldivarL Con gripe o influenza los demás tenemos que asistir a trabajar señor ministro. En ocasiones se siente uno devastado físicamente, pero se hace el esfuerzo o se corre el riesgo de ser, por lo menos, reprendido,  no obstante el riesgo de contagio, pero eso no lo entienden.","Puebla, México"
"113",113,"info7mty","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/StIIg5xgp1 https://t.co/9q3MnHLIVq","Monterrey, México"
"114",114,"RaulCobosTV3","México a una década de la influenza cómo se vivió y lecciones aprendidas https://t.co/CLQORxYiss","Aguascalientes, México"
"115",115,"RaulCobosTV3","Jalisco registra 125 casos de influenza en diferentes municipios https://t.co/L8zbjJfU8C","Aguascalientes, México"
"116",116,"RaulCobosTV3","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/zonpCirs1j","Aguascalientes, México"
"117",117,"RaulCobosTV3","Farmacéuticas descartan desabasto de vacuna contra influenza https://t.co/AtfppeqqSk","Aguascalientes, México"
"118",118,"RaulCobosTV2","México a una década de la influenza cómo se vivió y lecciones aprendidas https://t.co/EvHFeMJ8Jt","México"
"119",119,"RaulCobosTV2","Jalisco registra 125 casos de influenza en diferentes municipios https://t.co/gwUNCBAYZN","México"
"120",120,"RaulCobosTV2","Farmacéuticas descartan desabasto de vacuna contra influenza https://t.co/npSBoCXprq","México"
"121",121,"RaulCobosTV2","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/nR59MfzQs3","México"
"122",122,"noticiasmexico","Farmacéuticas descartan desabasto de vacuna contra influenza https://t.co/EUDMIJA2T4","Mexico"
"123",123,"noticiasmexico","México a una década de la influenza cómo se vivió y lecciones aprendidas https://t.co/nyKYMm3RJh","Mexico"
"124",124,"noticiasmexico","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/Nq0BPTRxzh","Mexico"
"125",125,"noticiasmexico","Jalisco registra 125 casos de influenza en diferentes municipios https://t.co/04bKzmMB8Z","Mexico"
"126",126,"Excelsior_TV","Jalisco registra 125 casos de influenza en diferentes municipios https://t.co/0uw1sk9lGH","Orange CA"
"127",127,"Excelsior_TV","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/cSMxL7Qljj","Orange CA"
"128",128,"Excelsior_TV","México a una década de la influenza cómo se vivió y lecciones aprendidas https://t.co/Gs5i1LWbGD","Orange CA"
"129",129,"Excelsior_TV","Farmacéuticas descartan desabasto de vacuna contra influenza https://t.co/rHjyJ4EOZA","Orange CA"
"130",130,"RaulCobosTV","Farmacéuticas descartan desabasto de vacuna contra influenza https://t.co/w39xEVDdfB","Aguascalientes"
"131",131,"RaulCobosTV","México a una década de la influenza cómo se vivió y lecciones aprendidas https://t.co/fpkuOazIp3","Aguascalientes"
"132",132,"RaulCobosTV","Por influenza, presidente de Suprema Corte faltó a la sesión del martes https://t.co/GJCRhSMO0L","Aguascalientes"
"133",133,"RaulCobosTV","Jalisco registra 125 casos de influenza en diferentes municipios https://t.co/7vlq4cTkAE","Aguascalientes"
"134",134,"AndrewALover","@parasiteecology Chimps severely threatened by human anthroponoses: 
including metapneumovirus, influenza, and measles
https://t.co/AB65eRL9uD
https://t.co/Nk1ifNbWF4
https://t.co/bo11jOHuu1","Amherst, MA"
"135",135,"BLANCANIEVRES","Por influenza, presidente de Suprema Corte faltó a la sesión del martes - IMPACTO MX https://t.co/xMrzXX3UXW vía @impactomx","Poza Rica"
"138",138,"UofMMedMicro","Dr Greg Hammond gives @UofMMedMicro an update about influenza virus and its spread and risk. https://t.co/Rl9rQzwj7k","Winnipeg, Manitoba"
"139",139,"UofMMedMicro","Dr. Greg Hammond presents an “Update on the mysteries of Influenza Transmission” today during the Med Micro weekly seminar. https://t.co/80GYwOtr7S","Winnipeg, Manitoba"
"140",140,"MTUJAX","People with HIV &amp; Influenza (Flu) | CDC https://t.co/MM8iMZu1uh via @CDCgov #AHF","Jacksonville, Florida"
"141",141,"lasnoticiasya","Ya van 26 defunciones a causa de Influenza en Zacatecas @SSZ_Zac  https://t.co/012LtUlcBx","Zacatecas, Mexico"
"142",142,"lasnoticiasya","Ya van 26 defunciones a causa de Influenza en Zacatecas @SSZ_Zac  https://t.co/012LtUCO07 https://t.co/VabYlH0SPL","Zacatecas, Mexico"
"143",143,"lasnoticiasya","Ya van 26 defunciones a causa de Influenza en Zacatecas @SSZ_Zac  https://t.co/012LtUlcBx https://t.co/xAmqiWe96o","Zacatecas, Mexico"
"144",144,"EleeRodriguezz","Vinieron a mi casa a ponernos la vacuna para la influenza y yo no quería, pero mi mamá me dijo que luego no vaya a andar enferma para SS y ps bajé en chinga jsjs","Colima, col."
"145",145,"JoeyDiZoglio","Just got exposed to influenza, time to find how how good my vaccine response is.","Providence, RI"
"146",146,"InfectDisNews","The @US_FDA has accepted a supplemental new drug application for Xofluza to treat patients at high-risk for complications from influenza, @genentech announced today. The company said a decision is expected by Nov. 4. https://t.co/BeB2BtxQlR","Thorofare, NJ"
"147",147,"RadioUNAM","¿Cuáles son las causas y complicaciones de la #Influenza? ¿cuál es la diferencia respecto a un resfriado común? ¿qué hacer en caso de ser diagnosticado con este padecimiento? En este #podcast de #Hipócrates 2.0 obtendrás las respuestas. Disponible en: https://t.co/8vpV2zjkrU. https://t.co/s1KtPrm2QF","México, D.F."
"148",148,"MORRISMAURICIO","Ya vacunado de Influenza y Tétanos en la #FeriadelaSaludGTO en la Subsecretaría del Trabajo y Previsión Social, quién guste de 10 a 14 horas invitado. #GrandezadeMéxico","LEON, GUANAJUATO. MX"
"149",149,"genentech","#Breaking: @US_FDA accepted our application for our single-dose, oral medicine for the treatment of #influenza in people at high risk of complications. https://t.co/V2YXjTXjcS","USA"
"150",150,"genentech","ICYMI: @US_FDA accepted our application for our single-dose #flu medicine for the treatment of people at high risk of influenza complications, including those over age 65. Read more: https://t.co/MzBYhXgXIl","USA"
"151",151,"histnovsoc","Two new novels to mark the centenary of the 1918 Philadelphia Influenza Pandemic: @readingthepast's feature on our website on @SusanMeissner &amp; @mindytarquini's latest releases. https://t.co/J0Gx4i0lob","UK/US"
"152",152,"RichidsCoulter","@dr_zenitram @mormo_music @ProAntiVaxxer @pepsiholic1990 @HenkelGus Similarly prevention of transmission doesn’t occur with all vaccines; diptheria, whooping cough, polio, influenza and tetanus vaccines have no effect on transmission and thus no effect on “herd” immunity.","San Diego, CA"
